 TITLE OF MEDIA,LOCATION,FORMAT,DATE,KEYWORD,COMMENTS AND PHYSICAL CONDITION,COLLECTION,CLIENT,SOURCE,LENGTH,TRANSFER DATE
0080.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0080.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0080.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0081.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0081.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0081.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0082.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0082.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0082.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0083.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0083.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0083.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0084.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0084.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0084.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0085.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0085.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0085.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0086.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0086.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0086.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0087.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0087.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0087.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0088.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0088.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0088.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0089.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0089.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0089.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0090.MP4,2018 PART 2,,,,,8MM,WESTERN JUBILEE,,,
0090.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0090.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0091.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0091.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0092.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0092.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0093 copy.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0093.MP4,TIME MASCHINE,,,DONALD BACKLUND,,8MM,USAFA,,,
0093.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0093.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0094 copy.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0094.MP4,TIME MASCHINE,,,DONALD BACKLUND,,8MM,USAFA,,,
0094.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0094.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0095.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0095.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0096.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0096.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0097.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0097.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0098.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0098.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0099.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0099.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0100.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0100.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0101.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0101.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0102.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0102.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0103.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0103.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0104.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0104.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0105.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0105.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0106.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0106.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0107.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0107.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0108.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0108.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0109.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0109.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0110.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0110.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0111.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0111.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0112.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0112.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0113.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0113.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0114.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0114.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0115.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0115.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0116.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0116.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0117.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0117.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0118.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0118.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0119.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0119.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0120.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0120.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0121.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0121.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0122.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0122.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0123.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0123.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0124.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0124.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0125.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0125.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0126.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0126.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0127.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0127.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0128.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0128.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0129.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0129.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0130.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0130.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0131.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0131.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0132.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0132.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0133.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0133.MP4,TOSHIBA EXT FOR USAFA,,,,,8MM,WESTERN JUBILEE,,,
0134.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0135.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0136.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0137.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0138.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0139.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0140.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0141.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0142.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0143.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0144.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
0145.MP4,MY PASSPORT,,,,,8MM,WESTERN JUBILEE,,,
8MM 0136.MP4,TOSHIBA EXT,,,,,8MM,WESTERN JUBILEE,,,
8MM 0137.MP4,TOSHIBA EXT,,,,,8MM,WESTERN JUBILEE,,,
8MM 0138.MP4,TOSHIBA EXT,,,,,8MM,WESTERN JUBILEE,,,
0027.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0028.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0029.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0030.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0031.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0032.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0033.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0034.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0035.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0036.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0037.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0038.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0039.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0040.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0041.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0042.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0043.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0044.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0045.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0046.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0047.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0048.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0049.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0050.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0051.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0052.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0053.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0054.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0055.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0056.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0057.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0058.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0059.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0060.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0065.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0067.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0068.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0069.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0070.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0071.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0072.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
0075.MP4,2018,,,,,8MM TRANSFERS,WESTERN JUBILEE,,,
ANTARCTIC ADVENTURE NO DATE 8MM 1950S.mov,TOSHIBA EXT FOR USAFA,,,,,ADMIRAL BYRD ANTARTICA,FLORENCE ANTIQUES,,,
alexander film and video commercial.mov,IOMEGA HDD BRAKHAGE,,,,MOVIES TO BURN,ALEXANDER FILM AND VIDEO,ASHLEY SWENDSEN,,,
GATES RUBBER.mp4,TOSHIBA EXT,,,,,ASHLEY SWENDSEN,ASHLEY SWENDSEN,,,
projector3color.MOV,IOMEGA HDD BRAKHAGE,,,,CARD 5 MOVIE BACKUPS BRAKHAGE DOCUMENTARY,ASHLEY SWENDSEN,ASHLEY SWENDSEN,,,
projectorloop.MOV,IOMEGA HDD BRAKHAGE,,,,CARD 5 MOVIE BACKUPS BRAKHAGE DOCUMENTARY,ASHLEY SWENDSEN,ASHLEY SWENDSEN,,,
projectorloop2.MOV,IOMEGA HDD BRAKHAGE,,,,CARD 5 MOVIE BACKUPS BRAKHAGE DOCUMENTARY,ASHLEY SWENDSEN,ASHLEY SWENDSEN,,,
projectorloop3.MOV,IOMEGA HDD BRAKHAGE,,,,CARD 5 MOVIE BACKUPS BRAKHAGE DOCUMENTARY,ASHLEY SWENDSEN,ASHLEY SWENDSEN,,,
CLIMB DANCE OCT 1989 VHS AUTOMOBILES PEUGEOT PRHOF.mp4,TOSHIBA EXT FOR USAFA,,,,,AUTOMOBILES PEUGEOT,PRO RODEO HALL OF FAME,,,
COLORADO DEC 1987 VHS AUTOMOBILES PEUGEOT PRHOF.mp4,TOSHIBA EXT FOR USAFA,,,,,AUTOMOBILES PEUGEOT,PRO RODEO HALL OF FAME,,,
FILM IN FLIGHT JUIN 1989 VHS AUTOMOBILES PEUGEOT PRHOF.mp4,TOSHIBA EXT FOR USAFA,,,,,AUTOMOBILES PEUGEOT,PRO RODEO HALL OF FAME,,,
IMPRESSIONS OF AFRICA MAR 1989 VHS AUTOMOBILES PEUGEOT PRHOF.mp4,TOSHIBA EXT FOR USAFA,,,,,AUTOMOBILES PEUGEOT,PRO RODEO HALL OF FAME,,,
PIKES PEAK II THE REVENGE VHS AUTOMOBILES PEUGEOT PRHOF.mp4,TOSHIBA EXT FOR USAFA,,,,,AUTOMOBILES PEUGEOT,PRO RODEO HALL OF FAME,,,
BALLOON CLASSIC.MOV,IOMEGA HDD BRAKHAGE,,,,,BALLOON CLASSIC,ASHLEY SWENDSEN,,,
SOMETHING SPECIAL II GFOP 4557 UMATIC BBQ SAUCE OCC.mp4,MY PASSPORT,,,,,BBQ SAUCE,OLD COLORADO CITY MUSEUM,,,
SOMETHING SPECIAL II GFOP 4557 UMATIC BBQ SAUCE OCC.mp4,MY PASSPORT,,,,,BBQ SAUCE,OLD COLORADO CITY MUSEUM,,,
BOB JACKSON MSHC.mov,MY PASSPORT,,,,,BOB JACKSON,MANITOU SPRINGS HERITAGE CENTER,,,
broadmoor cs co 1966 colorado film bank edition.mov,TOSHIBA EXT,,,,,BROADMOOR,EL POMAR,,,
broadmoor Movie transfer w sound.mov,TOSHIBA EXT,,,,broadmoor 1966,BROADMOOR,EL POMAR,,,
TourCS_1 no sound.mov,TOSHIBA EXT,,,,broadmoor 1966,BROADMOOR,EL POMAR,,,
CANON CITY PRISON S8MM MUSEUM COLLECTION.mov,TOSHIBA EXT,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
DAVIS EXECUTION 10 13 1997 V2 VHS CCPM.mp4,MY PASSPORT,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
DAVIS EXECUTION 10 13 1997 VHS CCPM copy.mp4,MY PASSPORT,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
DAVIS EXECUTION 10 13 1997 VHS CCPM.mp4,MY PASSPORT,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
PRISONS THEY AINT WHAT THEY USED TO BE PPLD STEVE ANTONUCCIO CCPM COLLECTION.mp4,MY PASSPORT FOR MAC 2,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
SEARCH FOR WEAPONS AT COLORADO TERRITORIAL CORRECTIONAL FACILITY MARCH 1997 CCPM.mp4,2018,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
SEX OFFENDER DNA BLOOD DRAW 5 15 1997 vhs MASTER CCPM .mov,MY PASSPORT,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
SEX OFFENDER DNA BLOOD DRAW MASTER CCPM .mp4,2018,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
WOODPECKER HILL TAPED FROM TV NEWS VHS CCPM.mov,MY PASSPORT,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
WOODPECKER HILL UMATIC 2 CCPM.mp4,2018,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
WOODPECKER HILL UMATIC CCPM.mp4,2018,,,,,CANON CITY PRISON MUSEUM,CANON CITY PRISON MUSEUM,,,
PRISONS THEY AINT WHAT THEY USED TO BE PPLD STEVE ANTONUCCIO CCPM COLLECTION.mp4,MY PASSPORT FOR MAC 2,,,,,CANON CITY PRISON MUSUEM,CANON CITY PRISON MUSEUM,,,
RESTORED PRISONS THEY AINT W,MY PASSPORT FOR MAC 2,,,,,CANON CITY PRISON MUSUEM,CANON CITY PRISON MUSEUM,,,
RESTORED PRISONS THEY AINT WHAT THEY USED TO BE PPLD 1990 STEVE ANTONUCCIO UMATIC CCPM COLLECTION.mov,MY PASSPORT FOR MAC 2,,,,,CANON CITY PRISON MUSUEM,CANON CITY PRISON MUSEUM,,,
SEARCH FOR WEAPONS AT COLORADO TERRITORIAL CORRECTIONAL FACILITY MARCH 1997 vhs CCPM.mov,MY PASSPORT FOR MAC 2,,,,,CANON CITY PRISON MUSUEM,CANON CITY PRISON MUSEUM,,,
SORT DAVIS EXECUTION 10 13 1997 VHS CCPM.mov,MY PASSPORT FOR MAC 2,,,,,CANON CITY PRISON MUSUEM,CANON CITY PRISON MUSEUM,,,
DAVIS EXECUTION 10 13 1997 VHS CCPM.mp4,TOSHIBA EXT FOR USAFA,,,,,CCPM,CCPM,,,
PRISONS THEY AINT WHAT THEY USED TO BE PPLD STEVE ANTONUCCIO CCPM COLLECTION (Converted),TOSHIBA EXT FOR USAFA,,,,,CCPM,CCPM,,,
PRISONS THEY AINT WHAT THEY USED TO BE PPLD STEVE ANTONUCCIO CCPM COLLECTION.mp4,TOSHIBA EXT FOR USAFA,,,,,CCPM,CCPM,,,
SEARCH FOR WEAPONS AT COLORADO TERRITORIAL CORRECTIONAL FACILITY MARCH 1997 CCPM (Converted),TOSHIBA EXT FOR USAFA,,,,,CCPM,CCPM,,,
CHARLIE CHAPLIN THE TRAMP BLACKHAWK FILMS 1915 S8MM.mov,TOSHIBA EXT FOR USAFA,,,,,CHARLIE CHAPLIN,FLORENCE ANTIQUES,,,
A CENTURY OF PROGRESS CHICAGO 1934 CHICAGO WORLDS FAIR C M MACK.mov,2018 PART 2,,,,,CHICAGO WORLDS FAIR,JOHN MACK,,,
****Big rear-Knight fast back-Enore-Doc enters    C0026.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Hickok Band All run away C0065.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Jack comes and gets ***OK-OK-see mares come toorun off-great concl. FS*C0088.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Joseph Bolder spar   C0006.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Knight toward Aurora-MS roaring in chases him away and back -C0081.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Pride plays with Naolin-Ok there C0094.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Pride plays with Okomi-Naolin there C0093.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
****Sham gets up walks etc charming C0114.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
***Bachelor enter-three squeel Great audio hooves C0035.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
***Bachelors greet-Knight Pride etc C0025.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
***Bachelors play-good end look C0031.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
***Bolder snakes slower/exits C0008.MP4,MY PASSPORT FOR MAC,,,,,CLOUD FOUNDATION,GINGER KATHRENS,,,
